ticker,NETTF US Equity,NETTF US Equity,NETTF US Equity,NETTF US Equity,NETTF US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2021-07-02,24.0,24.0,22.9,23.032,,23.0
2021-07-06,23.0,22.5,23.2,23.052,,23.0
2021-07-07,23.0,23.0,23.2,23.072,,22.0
2021-07-08,22.0,23.0,22.8,23.052,,23.0
2021-07-09,23.0,23.0,23.0,23.092,,23.0
2021-07-12,23.0,23.0,22.8,23.112,,23.0
2021-07-13,23.0,23.0,22.8,23.102,,24.0
2021-07-14,24.0,24.0,23.0,23.112,,24.0
2021-07-15,24.0,24.0,23.4,23.122,,24.0
2021-07-16,24.0,22.0,23.6,23.132,,22.0
2021-07-19,22.0,24.0,23.4,23.102,,24.0
2021-07-20,24.0,24.0,23.6,23.12,,24.0
2021-07-21,24.0,24.0,23.6,23.13,,24.0
2021-07-22,24.0,24.0,23.6,23.13,,22.5
2021-07-23,22.5,22.5,23.3,23.128,,18.01
2021-07-26,18.01,21.0,22.502,23.0282,,16.0
2021-07-27,16.0,19.0,20.902,22.8782,,18.0
2021-07-28,18.0,20.0,19.702,22.7882,,21.0
2021-07-29,21.0,18.0,19.102,22.7682,,21.0
2021-07-30,21.0,21.0,18.802,22.7482,,20.0
2021-08-02,20.0,20.0,19.2,22.7082,,20.0
2021-08-03,20.0,20.0,20.0,22.6822,,20.0
2021-08-04,20.0,20.0,20.4,22.6222,,19.0
2021-08-05,19.0,19.0,20.0,22.5222,,19.0
2021-08-06,19.0,18.0,19.6,22.4022,,18.0
2021-08-09,18.0,20.0,19.2,22.2822,,20.0
2021-08-10,20.0,20.0,19.2,22.2022,,20.0
2021-08-11,20.0,20.0,19.2,22.1122,,18.21
2021-08-12,18.21,20.0,19.042,21.9864,,20.0
2021-08-13,20.0,20.0,19.242,21.9364,,20.0
2021-08-16,20.0,20.0,19.642,21.8564,,19.0
2021-08-17,19.0,17.0,19.442,21.7464,,17.5
2021-08-18,17.5,19.0,18.942,21.6064,,15.0
2021-08-19,15.0,18.0,18.3,21.4764,,18.0
2021-08-20,18.0,17.0,17.9,21.3564,,17.0
2021-08-23,17.0,18.0,17.3,21.2544,,18.1
2021-08-24,18.1,19.0,17.12,21.1464,,19.0
2021-08-25,19.0,19.0,17.42,21.0564,,17.0
2021-08-26,17.0,17.0,17.82,20.9164,,18.5
2021-08-27,18.5,20.0,17.92,20.8264,,19.0
2021-08-30,19.0,17.55,18.32,20.7864,,19.03
2021-08-31,19.03,19.45,18.506,20.687,,21.0
2021-09-01,21.0,21.0,18.906,20.657,,20.25
2021-09-02,20.25,20.0,19.556,20.612,,19.24
2021-09-03,19.24,19.5,19.704,20.5368,,20.0
2021-09-07,20.0,19.44,19.904,20.5168,,19.0
2021-09-08,19.0,19.0,19.898,20.4668,,19.0
2021-09-09,19.0,19.0,19.498,20.3868,,19.0
2021-09-10,19.0,17.05,19.248,20.2868,,17.25
2021-09-13,17.25,19.0,18.85,20.1918,,18.0
2021-09-14,18.0,16.75,18.45,20.0718,,18.0
2021-09-15,18.0,17.77,18.25,19.9718,,17.49
2021-09-16,17.49,17.79,17.948,19.8616,,16.5
2021-09-17,16.5,18.0,17.448,19.7516,,15.5
2021-09-20,15.5,17.5,17.098,19.6016,,16.89
2021-09-21,16.89,16.89,16.876,19.4794,,15.5
2021-09-22,15.5,17.0,16.376,19.3294,,15.75
2021-09-23,15.75,17.19,16.028,19.1644,,16.89
2021-09-24,16.89,17.0,16.106,19.0222,,16.5
2021-09-27,16.5,17.24,16.306,18.8722,,16.3
2021-09-28,16.3,17.65,16.188,18.7582,,16.35
2021-09-29,16.35,16.0,16.358,18.6052,,18.45
2021-09-30,18.45,18.45,16.898,18.4942,,17.95
2021-10-01,17.95,16.2,17.11,18.3732,,16.05
2021-10-04,16.05,17.47,17.02,18.2442,,18.49
2021-10-05,18.49,19.0,17.458,18.2538,,19.0
2021-10-06,19.0,19.0,17.988,18.3138,,18.5
2021-10-07,18.5,17.5,17.998,18.3238,,19.49
2021-10-08,19.49,19.89,18.306,18.2936,,20.55
2021-10-11,20.55,20.55,19.206,18.2846,,18.75
2021-10-12,18.75,19.48,19.258,18.2596,,18.7
2021-10-13,18.7,19.69,19.198,18.2336,,19.56
2021-10-14,19.56,20.0,19.41,18.2248,,18.85
2021-10-15,18.85,20.3,19.282,18.2218,,18.4
2021-10-18,18.4,19.75,18.852,18.2098,,19.98
2021-10-19,19.98,20.3,19.098,18.2494,,20.6
2021-10-20,20.6,21.0,19.478,18.2614,,20.75
2021-10-21,20.75,20.78,19.716,18.2764,,20.4685
2021-10-22,20.4685,20.78,20.0397,18.3216,,20.4
2021-10-25,20.4,25.95,20.4397,18.3296,,22.89
2021-10-26,22.89,20.1,21.0217,18.3874,,19.6
2021-10-27,19.6,20.88,20.8217,18.3994,,19.52
2021-10-28,19.52,20.97,20.5757,18.4398,,21.97
2021-10-29,21.97,19.21,20.876,18.5792,,19.01
2021-11-01,19.01,21.5,20.598,18.5994,,19.66
2021-11-02,19.66,21.39,19.952,18.6526,,21.96
2021-11-03,21.96,19.0,20.424,18.7298,,20.252
2021-11-04,20.252,20.11,20.5704,18.7548,,21.59
2021-11-05,21.59,21.98,20.4944,18.8466,,20.4
2021-11-08,20.4,21.98,20.7724,18.8846,,20.16
2021-11-09,20.16,20.25,20.8724,18.9078,,22.31
2021-11-10,22.31,20.33,20.9424,18.9734,,22.042
2021-11-11,22.042,22.81,21.3004,18.9942,,22.234
2021-11-12,22.234,23.56,21.4292,19.0339,,21.8
2021-11-15,21.8,24.31,21.7092,19.0851,,23.7
2021-11-16,23.7,21.88,22.4172,19.1591,,22.1
2021-11-17,22.1,23.61,22.3752,19.2211,,22.38
2021-11-18,22.38,22.18,22.4428,19.2887,,22.7
2021-11-19,22.7,28.77,22.536,19.3627,,25.69
2021-11-22,25.69,22.18,23.314,19.5315,,22.18
2021-11-23,22.18,23.26,23.01,19.6151,,23.18
2021-11-24,23.18,22.35,23.226,19.7187,,23.5
2021-11-26,23.5,23.53,23.45,19.8389,,22.95
2021-11-29,22.95,23.41,23.5,19.9679,,21.6
2021-11-30,21.6,21.63,22.682,20.0899,,22.6
2021-12-01,22.6,23.0,22.766,20.2041,,22.75
2021-12-02,22.75,23.36,22.68,20.3491,,21.05
2021-12-03,21.05,21.45,22.19,20.4551,21.439,21.14
2021-12-06,21.14,21.28,21.828,20.5401,21.4112,21.31
2021-12-07,21.31,22.64,21.77,20.6363,21.3847,22.09
2021-12-08,22.09,20.98,21.668,20.7521,21.3607,20.63
2021-12-09,20.63,20.61,21.244,20.8377,21.3288,21.05
2021-12-10,21.05,20.43,21.244,20.8897,21.3047,20.15
2021-12-13,20.15,21.01,21.046,20.9337,21.2799,20.45
2021-12-14,20.45,20.86,20.874,21.0217,21.2567,20.025
2021-12-15,20.025,21.07,20.461,21.0524,21.2293,20.27
2021-12-16,20.27,19.93,20.389,21.0778,21.2084,18.45
2021-12-17,18.45,20.26,19.869,21.0768,21.1784,18.85
2021-12-20,18.85,18.27,19.609,21.064,21.1522,19.564
2021-12-21,19.564,19.19,19.4318,21.0443,21.1355,19.78
2021-12-22,19.78,19.78,19.3828,21.0649,21.1199,19.94
2021-12-23,19.94,20.16,19.3168,21.0897,21.1033,19.27
2021-12-27,19.27,19.94,19.4808,21.0839,21.0834,19.94
2021-12-28,19.94,19.1,19.6988,21.1057,21.0681,18.91
2021-12-29,18.91,19.02,19.568,21.1159,21.0502,21.42
2021-12-30,21.42,19.82,19.896,21.1447,21.0548,20.85
2021-12-31,20.85,20.91,20.078,21.1497,21.049,20.2
2022-01-03,20.2,20.01,20.264,21.1387,21.04,20.02
2022-01-04,20.02,19.57,20.28,21.1297,21.0324,19.2
2022-01-05,19.2,19.72,20.338,21.1057,21.0134,19.65
2022-01-06,19.65,19.67,19.984,21.0409,20.9966,19.48
2022-01-07,19.48,20.24,19.71,21.0385,20.979,20.33
2022-01-10,20.33,20.33,19.736,21.0547,20.9682,20.58
2022-01-11,20.58,20.86,19.848,21.0269,20.9611,20.62
2022-01-12,20.62,22.21,20.132,21.0591,20.9492,20.5
2022-01-13,20.5,20.82,20.302,21.0759,20.9367,20.79
2022-01-14,20.79,20.79,20.564,21.0525,20.9256,20.31
2022-01-18,20.31,21.15,20.56,21.0537,20.9172,20.71
2022-01-19,20.71,21.46,20.586,21.0361,20.9107,21.71
2022-01-20,21.71,21.63,20.804,21.0623,20.9093,19.438
2022-01-21,19.438,21.05,20.5916,21.0479,20.899,19.35
2022-01-24,19.35,19.22,20.3036,20.9887,20.8982,19.68
2022-01-25,19.68,19.6,20.1776,20.9414,20.8866,20.59
2022-01-26,20.59,20.87,20.1536,20.9085,20.8846,19.83
2022-01-27,19.83,19.7,19.7776,20.8691,20.8685,18.975
2022-01-28,18.975,19.42,19.685,20.7746,20.8481,20.7
2022-01-31,20.7,20.48,19.955,20.7466,20.8516,20.8
2022-02-01,20.8,20.84,20.179,20.715,20.8456,20.76
2022-02-02,20.76,20.09,20.213,20.6762,20.8344,19.65
2022-02-03,19.65,19.65,20.177,20.5554,20.8227,19.78
2022-02-04,19.78,19.514,20.338,20.5074,20.8066,19.93
2022-02-07,19.93,19.59,20.184,20.4424,20.7962,20.84
2022-02-08,20.84,20.5,20.192,20.3892,20.7904,21.35
2022-02-09,21.35,21.52,20.31,20.3572,20.7822,21.22
2022-02-10,21.22,21.2275,20.624,20.3496,20.7833,19.68
2022-02-11,19.68,20.83,20.604,20.2912,20.7717,19.625
2022-02-14,19.625,20.12,20.543,20.2287,20.7523,19.51
2022-02-15,19.51,20.62,20.277,20.1979,20.7324,20.31
2022-02-16,20.31,20.4,20.069,20.1813,20.7164,20.55
2022-02-17,20.55,19.53,19.935,20.1661,20.7017,19.31
2022-02-18,19.31,20.17,19.861,20.1105,20.6807,18.27
2022-02-22,18.27,18.95,19.59,20.0633,20.6566,18.334
2022-02-23,18.334,18.63,19.3548,20.009,20.6307,18.58
2022-02-24,18.58,17.92,19.0088,19.9776,20.6036,19.974
2022-02-25,19.974,19.22,18.8936,19.9681,20.5905,18.9
2022-02-28,18.9,19.9,18.8116,19.9456,20.57,18.69
2022-03-01,18.69,19.66,18.8956,19.914,20.546,19.02
2022-03-02,19.02,18.5,19.0328,19.9254,20.5286,17.8
2022-03-03,17.8,17.8,18.8768,19.9044,20.5076,16.56
2022-03-04,16.56,17.6799,18.194,19.8443,20.4804,16.8
2022-03-07,16.8,17.47,17.774,19.7847,20.4544,16.71
2022-03-08,16.71,16.61,17.378,19.7201,20.4314,17.06
2022-03-09,17.06,17.61,16.986,19.6759,20.4017,17.29
2022-03-10,17.29,16.815,16.884,19.6229,20.3682,16.97
2022-03-11,16.97,16.97,16.966,19.5841,20.328,15.68
2022-03-14,15.68,14.5,16.742,19.4693,20.2864,14.4
2022-03-15,14.4,14.1,16.28,19.3403,20.2384,18.28
2022-03-16,18.28,16.98,16.524,19.3019,20.2073,16.83
2022-03-17,16.83,17.36,16.432,19.2381,20.169,18.24
2022-03-18,18.24,17.33,16.686,19.2189,20.1477,17.83
2022-03-21,17.83,17.48,17.116,19.1825,20.1168,19.08
2022-03-22,19.08,18.2,18.052,19.1745,20.0897,19.32
2022-03-23,19.32,19.02,18.26,19.1543,20.0638,18.28
2022-03-24,18.28,18.52,18.55,19.1083,20.0477,18.95
2022-03-25,18.95,17.88,18.692,19.0749,20.0225,18.7225
2022-03-28,18.7225,18.55,18.8705,19.0394,20.0056,18.87
2022-03-29,18.87,18.66,18.8285,19.001,19.9824,18.2
2022-03-30,18.2,18.38,18.6045,18.9588,19.9559,18.1125
2022-03-31,18.1125,17.77,18.571,18.9068,19.9265,19.2775
2022-04-01,19.2775,19.68,18.6365,18.8582,19.9079,19.82
2022-04-04,19.82,19.74,18.856,18.8658,19.902,19.33
2022-04-05,19.33,19.41,18.948,18.8654,19.8786,18.7
2022-04-06,18.7,18.84,19.048,18.8458,19.8596,18.74
2022-04-07,18.74,18.45,19.1735,18.8088,19.8408,18.13
2022-04-08,18.13,18.87,18.944,18.7748,19.8165,19.02
2022-04-11,19.02,19.5,18.784,18.7757,19.8066,18.81
2022-04-12,18.81,18.57,18.68,18.7379,19.7931,19.01
2022-04-13,19.01,18.41,18.742,18.7021,19.7732,18.9225
2022-04-14,18.9225,18.87,18.7785,18.6654,19.7478,19.0
2022-04-18,19.0,18.63,18.9525,18.6524,19.7328,18.48
2022-04-19,18.48,19.13,18.8445,18.6264,19.7052,17.68
2022-04-20,17.68,18.05,18.6185,18.5814,19.6786,17.2
2022-04-21,17.2,17.15,18.2565,18.5086,19.6496,17.25
2022-04-22,17.25,17.84,17.922,18.4266,19.6258,17.63
2022-04-25,17.63,17.47,17.648,18.3548,19.599,17.47
2022-04-26,17.47,17.55,17.446,18.3106,19.5713,17.46
2022-04-27,17.46,18.19,17.402,18.2673,19.5436,17.63
2022-04-28,17.63,15.06,17.488,18.2297,19.5118,18.96
2022-04-29,18.96,19.19,17.83,18.2027,19.4866,18.51
2022-05-02,18.51,19.53,18.006,18.1619,19.4591,19.08
2022-05-03,19.08,18.57,18.328,18.1573,19.4445,18.38
2022-05-04,18.38,19.23,18.512,18.1595,19.4164,17.85
2022-05-05,17.85,18.16,18.556,18.1498,19.3857,17.72
2022-05-06,17.72,17.77,18.308,18.1326,19.3543,16.86
2022-05-09,16.86,17.51,17.978,18.0703,19.3261,17.58
2022-05-10,17.58,17.13,17.678,18.0439,19.3239,17.45
2022-05-11,17.45,17.78,17.492,18.0191,19.3312,17.23
2022-05-12,17.23,17.7,17.368,17.9833,19.3273,17.87
2022-05-13,17.87,18.04,17.398,17.9847,19.3117,18.3
2022-05-16,18.3,18.16,17.686,18.0195,19.2982,18.58
2022-05-17,18.58,19.559,17.886,18.0551,19.2911,18.6
2022-05-18,18.6,18.99,18.116,18.0929,19.2841,19.07
2022-05-19,19.07,19.2,18.484,18.1331,19.2794,19.02
2022-05-20,19.02,19.55,18.714,18.1677,19.2795,18.9
2022-05-23,18.9,19.5,18.834,18.2063,19.279,19.0
2022-05-24,19.0,18.79,18.918,18.2727,19.284,19.0
2022-05-25,19.0,19.59,18.998,18.3647,19.279,20.43
2022-05-26,20.43,20.04,19.27,18.4077,19.2812,20.87
2022-05-27,20.87,20.68,19.64,18.4885,19.2945,21.16
2022-05-31,21.16,21.46,20.092,18.5469,19.3003,20.68
2022-06-01,20.68,20.62,20.428,18.6039,19.3037,20.6775
2022-06-02,20.6775,20.33,20.7635,18.6359,19.3121,20.33
2022-06-03,20.33,20.45,20.7435,18.6561,19.3262,20.54
2022-06-06,20.54,21.4,20.6775,18.7013,19.3539,20.42
2022-06-07,20.42,20.48,20.5295,18.7307,19.366,21.5
2022-06-08,21.5,21.33,20.6935,18.7862,19.3885,21.4
2022-06-09,21.4,21.42,20.838,18.8368,19.405,21.26
2022-06-10,21.26,21.82,21.024,18.898,19.4163,20.0
2022-06-13,20.0,20.51,20.916,18.9358,19.4313,20.45
2022-06-14,20.45,20.16,20.922,18.9592,19.4411,20.19
2022-06-15,20.19,20.45,20.66,18.9666,19.447,18.995
2022-06-16,18.995,19.555,20.179,18.9599,19.4468,18.665
2022-06-17,18.665,18.89,19.66,18.9592,19.4352,18.0
2022-06-21,18.0,18.7,19.26,18.9444,19.4239,18.45
2022-06-22,18.45,17.5,18.86,18.9508,19.42,18.0
2022-06-23,18.0,17.95,18.422,18.9304,19.41,18.72
2022-06-24,18.72,18.86,18.367,18.9286,19.4086,19.3
2022-06-27,19.3,19.75,18.494,18.9344,19.4101,18.9
2022-06-28,18.9,18.8,18.674,18.934,19.4096,18.21
2022-06-29,18.21,18.02,18.626,18.9182,19.4144,18.385
2022-06-30,18.385,17.91,18.703,18.9163,19.4163,18.41
2022-07-01,18.41,18.8,18.641,18.9309,19.4183,17.95
2022-07-05,17.95,18.61,18.371,18.9459,19.4206,17.78
2022-07-06,17.78,17.58,18.147,18.9565,19.427,17.52
2022-07-07,17.52,17.99,18.009,18.9542,19.4371,17.8
2022-07-08,17.8,17.42,17.892,18.9608,19.4417,17.22
2022-07-11,17.22,17.17,17.654,18.956,19.4503,17.44
2022-07-12,17.44,17.16,17.552,18.9523,19.4587,17.86
2022-07-13,17.86,17.31,17.568,18.9302,19.4636,17.43
2022-07-14,17.43,17.43,17.55,18.9086,19.4682,17.02
2022-07-15,17.02,16.85,17.394,18.8674,19.4718,17.9
2022-07-18,17.9,17.88,17.53,18.8578,19.4796,17.74
2022-07-19,17.74,17.38,17.59,18.8556,19.476,18.71
2022-07-20,18.71,17.84,17.76,18.8754,19.4798,19.35
2022-07-21,19.35,20.02,18.144,18.9252,19.4963,18.965
2022-07-22,18.965,19.15,18.533,18.9529,19.4987,19.57
2022-07-25,19.57,18.74,18.867,18.9953,19.5016,18.81
2022-07-26,18.81,18.93,19.081,19.0269,19.5031,19.38
2022-07-27,19.38,18.72,19.215,19.0571,19.5026,18.67
2022-07-28,18.67,19.65,19.079,19.0645,19.4932,17.89
2022-07-29,17.89,17.89,18.864,19.0507,19.4889,17.65
2022-08-01,17.65,17.65,18.48,19.0317,19.4836,17.48
2022-08-02,17.48,17.16,18.214,18.9999,19.4732,18.108
2022-08-03,18.108,17.97,17.9596,18.9817,19.4695,17.86
2022-08-04,17.86,17.44,17.7976,18.9609,19.4668,17.11
2022-08-05,17.11,16.75,17.6416,18.9231,19.4525,17.75
2022-08-08,17.75,18.26,17.6616,18.8981,19.4382,17.56
2022-08-09,17.56,17.21,17.6776,18.8407,19.4223,17.48
2022-08-10,17.48,17.7325,17.552,18.7729,19.4073,18.5
2022-08-11,18.5,18.54,17.68,18.7197,19.3978,18.2125
2022-08-12,18.2125,18.34,17.9005,18.6704,19.3744,18.45
2022-08-15,18.45,18.46,18.0405,18.6258,19.3687,18.44
2022-08-16,18.44,17.81,18.2165,18.588,19.3633,18.41
2022-08-17,18.41,18.3,18.4025,18.5454,19.3455,17.26
2022-08-18,17.26,18.3,18.1545,18.4822,19.3367,16.69
2022-08-19,16.69,17.07,17.85,18.386,19.3219,17.16
2022-08-22,17.16,17.56,17.592,18.3012,19.2979,17.11
2022-08-23,17.11,16.93,17.326,18.2182,19.2822,17.26
2022-08-24,17.26,17.77,17.096,18.1634,19.2605,18.2325
2022-08-25,18.2325,18.49,17.2905,18.1191,19.2497,18.13
2022-08-26,18.13,18.66,17.5785,18.0779,19.2395,17.75
2022-08-29,17.75,17.99,17.6965,18.053,19.2167,17.16
2022-08-30,17.16,17.36,17.7065,18.0229,19.1923,17.67
2022-08-31,17.67,17.57,17.7885,18.0163,19.1695,17.57
2022-09-01,17.57,17.39,17.656,17.9987,19.1484,17.99
2022-09-02,17.99,17.57,17.628,17.9985,19.1198,17.46
2022-09-06,17.46,17.56,17.57,17.9733,19.0966,17.17
2022-09-07,17.17,17.08,17.572,17.9307,19.0706,16.7
2022-09-08,16.7,16.45,17.378,17.8867,19.0406,17.83
2022-09-09,17.83,17.1,17.43,17.8791,19.0013,17.66
2022-09-12,17.66,17.36,17.364,17.8646,18.9787,17.37
2022-09-13,17.37,17.37,17.346,17.8438,18.9496,17.0
2022-09-14,17.0,16.9,17.312,17.8248,18.9171,16.78
2022-09-15,16.78,16.77,17.328,17.8048,18.8863,16.47
2022-09-16,16.47,16.47,17.056,17.7838,18.8606,16.205
2022-09-19,16.205,16.62,16.765,17.7519,18.8286,16.58
2022-09-20,16.58,16.36,16.607,17.7391,18.7978,15.9
2022-09-21,15.9,15.9,16.387,17.7083,18.772,15.7
2022-09-22,15.7,15.58,16.171,17.6651,18.7448,15.34
2022-09-23,15.34,15.84,15.945,17.6233,18.715,15.71
2022-09-26,15.71,15.36,15.846,17.5971,18.6831,15.36
2022-09-27,15.36,15.57,15.602,17.5463,18.6567,15.37
2022-09-28,15.37,14.89,15.496,17.4989,18.6283,14.77
2022-09-29,14.77,14.77,15.31,17.4201,18.6014,15.192
2022-09-30,15.192,15.05,15.2804,17.3369,18.5751,15.04
2022-10-03,15.04,14.84,15.1464,17.2584,18.5502,15.57
2022-10-04,15.57,15.66,15.1884,17.1784,18.5267,15.85
2022-10-05,15.85,15.77,15.2844,17.1192,18.5137,15.72
2022-10-06,15.72,15.73,15.4744,17.046,18.4981,15.25
2022-10-07,15.25,15.4,15.486,16.9776,18.4765,15.05
2022-10-10,15.05,15.04,15.488,16.9208,18.4528,14.57
2022-10-11,14.57,14.34,15.288,16.8592,18.426,14.23
2022-10-12,14.23,14.27,14.964,16.7942,18.4008,13.86
2022-10-13,13.86,13.94,14.592,16.7092,18.3704,13.83
2022-10-14,13.83,13.88,14.308,16.6286,18.345,14.244
2022-10-17,14.244,13.7,14.1468,16.5713,18.3091,13.9
2022-10-18,13.9,14.73,14.0128,16.4943,18.2744,13.37
2022-10-19,13.37,13.6,13.8408,16.4105,18.2402,12.88
2022-10-20,12.88,12.51,13.6448,16.3185,18.2045,11.92
2022-10-21,11.92,11.98,13.2628,16.1869,18.1681,11.264
2022-10-24,11.264,11.15,12.6668,16.048,18.1262,11.41
2022-10-25,11.41,11.39,12.1688,15.9072,18.0858,11.52
2022-10-26,11.52,11.24,11.7988,15.7688,18.0418,11.2425
2022-10-27,11.2425,11.22,11.4713,15.6254,17.9951,10.51
2022-10-28,10.51,10.65,11.1893,15.4904,17.9445,10.87
2022-10-31,10.87,10.7,11.1105,15.374,17.8964,11.915
2022-11-01,11.915,11.58,11.2115,15.2691,17.852,11.72
2022-11-02,11.72,11.99,11.2515,15.1613,17.8091,11.07
2022-11-03,11.07,11.23,11.217,15.0375,17.7609,12.17
2022-11-04,12.17,12.59,11.549,14.9163,17.7132,12.47
2022-11-07,12.47,12.47,11.869,14.8031,17.6783,12.03
2022-11-08,12.03,12.25,11.892,14.6887,17.6417,11.79
2022-11-09,11.79,11.95,11.906,14.5813,17.6023,12.27
2022-11-10,12.27,12.42,12.146,14.4733,17.5607,12.8
2022-11-11,12.8,12.57,12.272,14.3779,17.5255,13.04
2022-11-14,13.04,13.1,12.386,14.2788,17.4959,13.87
2022-11-15,13.87,14.07,12.754,14.207,17.4617,14.26
2022-11-16,14.26,14.24,13.248,14.1488,17.429,13.91
2022-11-17,13.91,13.65,13.576,14.093,17.3948,13.25
2022-11-18,13.25,14.1,13.666,14.0014,17.3628,13.01
2022-11-21,13.01,12.96,13.66,13.9084,17.3289,12.8
2022-11-22,12.8,12.8,13.446,13.817,17.2933,13.27
2022-11-23,13.27,13.13,13.248,13.7424,17.2554,13.7
2022-11-25,13.7,13.0,13.206,13.6808,17.2172,13.04
